Time,Relative fluorescence ratio
1.9,0.87567681
1.911111111,0.880971877
1.922222222,0.8726927
1.933333333,0.879338707
1.944444444,0.881802892
1.955555556,0.872975946
1.966666667,0.878096758
1.977777778,0.879339727
1.988888889,0.874136733
2,0.875510015
2.011111111,0.885610283
2.022222222,0.884636941
2.033333333,0.877165677
2.044444444,0.872416672
2.055555556,0.888688723
2.066666667,0.875730522
2.077777778,0.876521447
2.088888889,0.879961326
2.2,0.86664201
2.211111111,0.864160937
2.222222222,0.871734594
2.233333333,0.869865594
2.244444444,0.876571405
2.255555556,0.873841625
2.266666667,0.869052929
2.277777778,0.867376582
2.288888889,0.87189463
2.3,0.864612499
2.311111111,0.876312593
2.322222222,0.868311839
2.333333333,0.866462857
2.344444444,0.87266284
2.355555556,0.871025592
2.366666667,0.866175807
2.377777778,0.866437733
2.388888889,0.871938914
2.4,0.869900302
2.411111111,0.863685694
2.422222222,0.868007673
2.433333333,0.863489437
2.444444444,0.860647526
2.455555556,0.864899271
2.466666667,0.86859067
2.477777778,0.874462673
2.488888889,0.862348076
2.5,0.867732984
2.511111111,0.865670479
2.522222222,0.858548039
2.533333333,0.864409196
2.544444444,0.862814302
2.555555556,0.866226813
2.566666667,0.865322601
2.577777778,0.863279148
2.588888889,0.858969513
2.6,0.874319408
2.611111111,0.867497646
2.622222222,0.874865108
2.633333333,0.865096564
2.644444444,0.863699171
2.655555556,0.865005837
2.666666667,0.860146738
2.677777778,0.862857371
2.688888889,0.861705935
2.7,0.865734445
2.711111111,0.8653456
2.722222222,0.860635633
2.733333333,0.859434674
2.744444444,0.861449434
2.755555556,0.865952616
2.766666667,0.860804582
2.777777778,0.85911654
2.788888889,0.871464374
2.8,0.865364007
2.811111111,0.866575918
2.822222222,0.863898608
2.833333333,0.862617565
2.844444444,0.861885066
2.855555556,0.856580176
2.866666667,0.854982543
2.877777778,0.856972183
2.888888889,0.86254118
2.9,0.855612956
2.911111111,0.85570463
2.922222222,0.857753265
2.933333333,0.863635414
2.944444444,0.863869245
2.955555556,0.858558266
2.966666667,0.864071939
2.977777778,0.858516297
2.988888889,0.861268889
3,0.865827951
3.011111111,0.863192421
3.022222222,0.850013955
3.033333333,0.864102128
3.044444444,0.859692139
3.055555556,0.857800901
3.066666667,0.857078454
3.077777778,0.861921997
3.088888889,0.849651907
3.1,0.852567833
3.111111111,0.860466414
3.122222222,0.860226877
3.133333333,0.854206231
3.144444444,0.855134861
3.155555556,0.8529519
3.166666667,0.851733603
3.177777778,0.854859328
3.188888889,0.856547159
3.2,0.85097804
3.211111111,0.853499422
3.222222222,0.858858303
3.233333333,0.856862027
3.244444444,0.853699424
3.255555556,0.858998139
3.266666667,0.854063641
3.277777778,0.848188037
3.288888889,0.851916481
3.3,0.857506521
3.311111111,0.849834025
3.322222222,0.851018255
3.333333333,0.844597433
3.344444444,0.850295038
3.355555556,0.854517571
3.366666667,0.849698943
3.377777778,0.85705584
3.388888889,0.850450901
3.4,0.852763857
3.411111111,0.852148417
3.422222222,0.848762474
3.433333333,0.85285346
3.444444444,0.846852003
3.455555556,0.852172527
3.466666667,0.846832652
3.477777778,0.843744259
3.488888889,0.844506658
3.5,0.856128795
3.511111111,0.843213497
3.522222222,0.849289742
3.533333333,0.84702407
3.544444444,0.848419925
3.555555556,0.845133839
3.566666667,0.854099305
3.577777778,0.850101354
3.588888889,0.84046671
3.6,0.848891344
3.611111111,0.855151184
3.622222222,0.848654906
3.633333333,0.848641231
3.644444444,0.839776444
3.655555556,0.847199973
3.666666667,0.847882917
3.677777778,0.844533737
3.688888889,0.84264924
3.7,0.849042006
3.711111111,0.846181478
3.722222222,0.850885198
3.733333333,0.842079794
3.744444444,0.838999268
3.755555556,0.847318499
3.766666667,0.84671512
3.777777778,0.840942605
3.788888889,0.841783459
3.8,0.844315763
3.811111111,0.840699496
3.822222222,0.837981782
3.833333333,0.843316044
3.844444444,0.83140435
3.855555556,0.837703495
3.866666667,0.832322089
3.877777778,0.842108865
3.888888889,0.839752203
3.9,0.840164702
3.911111111,0.838765902
3.922222222,0.844042513
3.933333333,0.838221582
3.944444444,0.83967153
3.955555556,0.841084613
3.966666667,0.8381853
3.977777778,0.838355774
3.988888889,0.842553065
4,0.838060083
4.011111111,0.84191302
4.022222222,0.833291416
4.033333333,0.833326763
4.044444444,0.838505396
4.055555556,0.843926558
4.066666667,0.841570711
4.077777778,0.836421485
4.088888889,0.831207603
4.1,0.836396163
4.111111111,0.830666401
4.122222222,0.835687866
4.133333333,0.829507801
4.144444444,0.835492936
4.155555556,0.830985046
4.166666667,0.831923937
4.177777778,0.836528022
4.188888889,0.839647143
4.2,0.836987954
4.211111111,0.833815131
4.222222222,0.831664546
4.233333333,0.834173682
4.244444444,0.826057429
4.255555556,0.824549246
4.266666667,0.826461137
4.277777778,0.827436402
4.288888889,0.824602102
4.3,0.828723345
4.311111111,0.831434346
4.322222222,0.826742025
4.333333333,0.830167985
4.344444444,0.826562872
4.355555556,0.826506822
4.366666667,0.825461237
4.377777778,0.829103482
4.388888889,0.825512921
4.4,0.824885089
4.411111111,0.822814056
4.422222222,0.831150672
4.433333333,0.827046818
4.444444444,0.822587046
4.455555556,0.814225613
4.466666667,0.825031625
4.477777778,0.822736497
4.488888889,0.832597677
4.5,0.818219917
4.511111111,0.823927634
4.522222222,0.813347851
4.533333333,0.82394768
4.544444444,0.821166751
4.555555556,0.821044914
4.566666667,0.824942692
4.577777778,0.819773433
4.588888889,0.81694804
4.6,0.818585949
4.611111111,0.81369337
4.622222222,0.822356885
4.633333333,0.81191865
4.644444444,0.813622268
4.655555556,0.815462487
4.666666667,0.813807259
4.677777778,0.816550196
4.688888889,0.803283561
4.7,0.815082276
4.711111111,0.80942433
4.722222222,0.805849378
4.733333333,0.814489821
4.744444444,0.799761131
4.755555556,0.803627066
4.766666667,0.791536408
4.777777778,0.79496034
4.788888889,0.782831677
4.8,0.75131675
4.811111111,0.751832478
4.822222222,0.76285813
4.833333333,0.759375998
4.844444444,0.754251898
4.855555556,0.757009834
4.866666667,0.756532404
4.877777778,0.752070601
4.888888889,0.749064004
4.9,0.747072738
4.911111111,0.744208404
4.922222222,0.737204247
4.933333333,0.738244796
4.944444444,0.734438572
4.955555556,0.732510683
4.966666667,0.724192343
4.977777778,0.719428316
4.988888889,0.715209343
5,0.715403352