,Time,normal_Eucli_d
0,2.39,0.0019868267175131844
1,2.429,0.0027648456274788624
2,2.466,0.003009305310125517
3,2.504,0.003351096802802408
4,2.543,0.0033890367315815703
5,2.581,0.003374186170681782
6,2.619,0.003327762675120575
7,2.657,0.0032713031039397146
8,2.695,0.003259441788461395
9,2.733,0.00340227320185464
10,2.771,0.003824109215759177
11,2.809,0.004571577058037442
12,2.847,0.005589069312457416
13,2.885,0.006777977411626519
14,2.923,0.008049737107747723
15,2.961,0.009346632078934273
16,2.998,0.010644782765615923
17,3.036,0.012159438442210206
18,3.074,0.013669779659976757
19,3.112,0.015235962298977675
20,3.149,0.017073997536545878
21,3.187,0.019063951582312607
22,3.225,0.021268846998942277
23,3.263,0.023741338358053313
24,3.301,0.02652541365606524
25,3.339,0.029659220329791954
26,3.377,0.03317909371372428
27,3.415,0.03712412456807181
28,3.453,0.041541424454745436
29,3.491,0.046491556228817926
30,3.528,0.052053310832436486
31,3.567,0.05834283077190571
32,3.605,0.06547389848754655
33,3.643,0.07360963812840829
34,3.681,0.08295536270019432
35,3.719,0.09377098488103644
36,3.757,0.10638935956855278
37,3.795,0.12124298427376207
38,3.834,0.13882050913917035
39,3.872,0.1599624054615424
40,3.91,0.18567228618212386
41,3.948,0.2172633130167915
42,3.986,0.256359920161751
43,4.024,0.3046799974249988
44,4.062,0.3631935131166196
45,4.1,0.4299278959524629
46,4.138,0.4962190410448806
47,4.176,0.5460894082657166
48,4.214,0.5718689263449057
49,4.251,0.5842724732280162
50,4.289,0.5924727563635644
51,4.327,0.5999928198174992
52,4.364,0.6066404581339764
53,4.402,0.6117022758062787
54,4.44,0.6151369657209687
55,4.478,0.6174386291459961
56,4.515,0.6190818224891902
57,4.553,0.6202732621656848
58,4.591,0.6210540486787791
59,4.629,0.621435119236635
60,4.667,0.6214596957978742
61,4.704,0.6211931431457217
62,4.742,0.6207024877944045
63,4.78,0.6200122088033493
64,4.817,0.6191431513083387
65,4.855,0.6180946285139955
66,4.893,0.616864425112907
67,4.931,0.6154503623688863
68,4.969,0.613851015184842
69,5.007,0.6120656953842366
70,5.045,0.6100949832625024
71,5.083,0.6079417610174335
72,5.121,0.6056120457021276
73,5.159,0.6031150406241425
74,5.197,0.6004624078907093
75,5.234,0.5976671196954043
76,5.273,0.5947438228470835
77,5.311,0.5917021990326485
78,5.349,0.5885536751043253
79,5.387,0.5853082334531261
80,5.425,0.5819740389634279
81,5.463,0.578557523494319
82,5.501,0.5750637805279838
83,5.54,0.5714905286556683
84,5.578,0.5678473024717559
85,5.616,0.564138596769022
86,5.653,0.5603750389404432
87,5.691,0.5565554735495273
88,5.729,0.5526834982304987
89,5.766,0.5487627100815111
90,5.804,0.5448033655745529
91,5.842,0.5408026409301736
92,5.88,0.5367636335520881
93,5.918,0.532689369018088
94,5.956,0.528582749957103
95,5.994,0.5244465273875893
96,6.031,0.520283316364115
97,6.07,0.5160963356526399
98,6.108,0.5118873440853896
99,6.146,0.5076595342432444
100,6.183,0.5034212096943759
101,6.221,0.4991723073408337
102,6.259,0.4949167664371832
103,6.297,0.49065811757894184
104,6.335,0.4863991178527421
105,6.373,0.4821415102003041
106,6.412,0.47788218947844135
107,6.45,0.4736245975075476
108,6.488,0.46936837784510865
109,6.526,0.4651133027370452
110,6.563,0.460859716398982
111,6.602,0.45660910227360485
112,6.64,0.4523633497561321
113,6.678,0.448125620144353
114,6.716,0.4438997717484239
115,6.754,0.43969003883084407
116,6.792,0.43550070373697997
117,6.83,0.4313358205801608
118,6.868,0.427199033384819
119,6.906,0.423093504308621
120,6.944,0.41902194374887536
121,6.982,0.4149867038263321
122,7.02,0.41098988094644956
123,7.058,0.4070334016690721
124,7.096,0.4031190803588361
125,7.134,0.39924864375505875
126,7.172,0.3954237214258897
127,7.21,0.3916458076571281
128,7.248,0.3879162061440513
129,7.286,0.38423597005634264
130,7.324,0.38060585160393723
131,7.362,0.37702626953859913
132,7.4,0.37349733540340985
133,7.438,0.3700189400269143
134,7.476,0.366590800774465
135,7.514,0.36321246580498995
136,7.552,0.35988330131241353
137,7.59,0.3566024809643447
138,7.628,0.35336899228058544
139,7.666,0.3501816709286101
140,7.704,0.3470392591866617
141,7.742,0.3439404758574365
142,7.78,0.34088408420949773
143,7.817,0.3378695149084078
144,7.854,0.33489595847105746
145,7.892,0.3319621299994587
146,7.93,0.32906714513662333
147,7.967,0.326210309441769
148,8.005,0.3233918451005281
149,8.043,0.32061060650497386
150,8.081,0.3178660818126641
151,8.119,0.3151578057424779
152,8.157,0.31248531492521103
153,8.195,0.30984812318638943
154,8.233,0.30724571406202345
155,8.271,0.3046755267280633
156,8.309,0.3021410853293723
157,8.347,0.2996397527363575
158,8.385,0.29717096233136847
159,8.424,0.294734155950684
160,8.462,0.2923280043256472
161,8.5,0.2899527427630189
162,8.538,0.28760789844924783
163,8.576,0.2852929586024772
164,8.614,0.2830074099182197
165,8.651,0.28075107964211576
166,8.689,0.2785235747821943
167,8.727,0.2763238651311034
168,8.765,0.27415154982093487
169,8.803,0.2720062049330108
170,8.841,0.26988742609538147
171,8.879,0.2677947820369118
172,8.918,0.2657277798250849
173,8.956,0.2636849995159934
174,8.994,0.2616668214824004
175,9.032,0.2596721790658812
176,9.07,0.2576994567574344
177,9.108,0.25574973480393126
178,9.146,0.25382139774442714
179,9.184,0.25191387383841707
180,9.222,0.2500267659212359
181,9.26,0.24815979023198287
182,9.298,0.24631278034019446
183,9.336,0.24448562445227526
184,9.374,0.24267824460584644
185,9.412,0.2408905510567338
186,9.45,0.23912243318238047
187,9.488,0.2373737387300206
188,9.526,0.2356442823727133
189,9.564,0.23393383959313682
190,9.602,0.2322421620884671
191,9.64,0.23056897352303385
192,9.678,0.2289139859504581
193,9.716,0.22727703988999062
194,9.755,0.22565752181276694
195,9.793,0.22405421105101714
196,9.831,0.2224690117411187
197,9.869,0.22089889295074527
198,9.907,0.2193470487518687
199,9.945,0.21780839776077346
200,9.983,0.2162890457691315
201,10.021,0.21477973010858228
202,10.059,0.213292653005994
203,10.096,0.21180970522774217
204,10.135,0.21035723282813062
205,10.173,0.20889461645741203
206,10.211,0.20748231679270765
207,10.25,0.20603146308020984
208,10.288,0.2046763908751004
209,10.327,0.203224374369474
210,10.365,0.20198160289369962
211,10.403,0.20053506178522526
212,10.441,0.19956563102524572
213,10.479,0.1982736089250544
214,10.517,0.19753906002297775
215,10.556,0.19638210666237452
216,10.594,0.1951055299418251
217,10.632,0.19378098676614447
218,10.67,0.19248853290096718
219,10.708,0.1911618081427836
220,10.746,0.18991796189050666
221,10.784,0.1886121431970111
222,10.822,0.18746562475163644
223,10.86,0.18620339815758416
224,10.898,0.1852787168936902
225,10.936,0.18420055836489826
226,10.975,0.18353883100705765
227,11.013,0.1826533631158696
228,11.052,0.18157961794210423
229,11.09,0.180458899367512
230,11.128,0.17938217778047913
231,11.166,0.17825631526005564
232,11.205,0.17735223867784458
233,11.243,0.17639423663321346
234,11.282,0.1758196860770582
235,11.318,0.1751611952477579
236,11.356,0.17427817247807553
237,11.395,0.17336523530984654
238,11.432,0.17243688850992653
239,11.47,0.17150882182351165
240,11.508,0.17084949345161168
241,11.546,0.17024620873967072
242,11.584,0.16976706001620714
243,11.622,0.16923582824923822
244,11.66,0.168322937373834
245,11.698,0.16743857071426094
246,11.736,0.16686211835817386
247,11.774,0.16647097469192626
248,11.812,0.16645715903246164
249,11.85,0.16627486867411354
250,11.888,0.1654588729649902
251,11.926,0.1647416608472156
